ID: CMSSW
Metadata: (strobe,) start of orbit, start of packet, end of packet, valid

      Link              000        
Frame 0000    1101 000002070f3e1e61
Frame 0001    0001 0000000000000000
Frame 0002    0001 00000140138e1051
Frame 0003    0001 0000000000000000
Frame 0004    0001 0000027d78ee0f51
Frame 0005    0001 0000000000000000
Frame 0006    0001 000002c7218e0c61
Frame 0007    0001 0000000000000000
Frame 0008    0001 000002ccea1609c1
Frame 0009    0001 0000000000000000
Frame 0010    0001 00000063b4a00601
Frame 0011    0001 0000000000000000
Frame 0012    0001 0000013d640c05e1
Frame 0013    0001 0000000000000000
Frame 0014    0001 000002f4b3780561
Frame 0015    0001 0000000000000000
Frame 0016    0001 00000082d74a0551
Frame 0017    0001 0000000000000000
Frame 0018    0001 00000e26b40c0541
Frame 0019    0001 0000000000000000
Frame 0020    0001 00000292b16c04a1
Frame 0021    0001 0000000000000000
Frame 0022    0001 00000142fab60491
Frame 0023    0011 0000000000000000
Frame 0024    0000 0000000000000000
Frame 0025    0000 0000000000000000
Frame 0026    0000 0000000000000000
Frame 0027    0000 0000000000000000
Frame 0028    0000 0000000000000000
Frame 0029    0000 0000000000000000
Frame 0030    0000 0000000000000000
Frame 0031    0000 0000000000000000
Frame 0032    0000 0000000000000000
Frame 0033    0000 0000000000000000
Frame 0034    0000 0000000000000000
Frame 0035    0000 0000000000000000
Frame 0036    0000 0000000000000000
Frame 0037    0000 0000000000000000
Frame 0038    0000 0000000000000000
Frame 0039    0000 0000000000000000
Frame 0040    0000 0000000000000000
Frame 0041    0000 0000000000000000
Frame 0042    0000 0000000000000000
Frame 0043    0000 0000000000000000
Frame 0044    0000 0000000000000000
Frame 0045    0000 0000000000000000
Frame 0046    0000 0000000000000000
Frame 0047    0000 0000000000000000
Frame 0048    0000 0000000000000000
Frame 0049    0000 0000000000000000
Frame 0050    0000 0000000000000000
Frame 0051    0000 0000000000000000
Frame 0052    0000 0000000000000000
Frame 0053    0000 0000000000000000
Frame 0054    0101 0000015b14ee1311
Frame 0055    0001 0000000000000000
Frame 0056    0001 00000fdca93e0901
Frame 0057    0001 0000000000000000
Frame 0058    0001 000001a684a00901
Frame 0059    0001 0000000000000000
Frame 0060    0001 00000f69559a0891
Frame 0061    0001 0000000000000000
Frame 0062    0001 0000028fcad807f1
Frame 0063    0001 0000000000000000
Frame 0064    0001 00000d870c940631
Frame 0065    0001 0000000000000000
Frame 0066    0001 000002b07eaa0631
Frame 0067    0001 0000000000000000
Frame 0068    0001 0000025b345c04b1
Frame 0069    0001 0000000000000000
Frame 0070    0001 000000650cd80441
Frame 0071    0001 0000000000000000
Frame 0072    0001 00000e003fea03b1
Frame 0073    0001 0000000000000000
Frame 0074    0001 00000f6500ee03b1
Frame 0075    0001 0000000000000000
Frame 0076    0001 00000cfa7b820371
Frame 0077    0011 0000000000000000
Frame 0078    0000 0000000000000000
Frame 0079    0000 0000000000000000
Frame 0080    0000 0000000000000000
Frame 0081    0000 0000000000000000
Frame 0082    0000 0000000000000000
Frame 0083    0000 0000000000000000
Frame 0084    0000 0000000000000000
Frame 0085    0000 0000000000000000
Frame 0086    0000 0000000000000000
Frame 0087    0000 0000000000000000
Frame 0088    0000 0000000000000000
Frame 0089    0000 0000000000000000
Frame 0090    0000 0000000000000000
Frame 0091    0000 0000000000000000
Frame 0092    0000 0000000000000000
Frame 0093    0000 0000000000000000
Frame 0094    0000 0000000000000000
Frame 0095    0000 0000000000000000
Frame 0096    0000 0000000000000000
Frame 0097    0000 0000000000000000
Frame 0098    0000 0000000000000000
Frame 0099    0000 0000000000000000
Frame 0100    0000 0000000000000000
Frame 0101    0000 0000000000000000
Frame 0102    0000 0000000000000000
Frame 0103    0000 0000000000000000
Frame 0104    0000 0000000000000000
Frame 0105    0000 0000000000000000
Frame 0106    0000 0000000000000000
Frame 0107    0000 0000000000000000
Frame 0108    0101 0000016af8fa1ae1
Frame 0109    0001 0000000000000000
Frame 0110    0001 0000027bed1c1331
Frame 0111    0001 0000000000000000
Frame 0112    0001 0000013e911c0f61
Frame 0113    0001 0000000000000000
Frame 0114    0001 000001599ccc0ee1
Frame 0115    0001 0000000000000000
Frame 0116    0001 0000032ad22e0c11
Frame 0117    0001 0000000000000000
Frame 0118    0001 0000000cf2880711
Frame 0119    0001 0000000000000000
Frame 0120    0001 00000e5b113406c1
Frame 0121    0001 0000000000000000
Frame 0122    0001 00000da7c8440501
Frame 0123    0001 0000000000000000
Frame 0124    0001 00000d4a28d804a1
Frame 0125    0001 0000000000000000
Frame 0126    0001 000002f075280481
Frame 0127    0001 0000000000000000
Frame 0128    0001 0000010e43d20431
Frame 0129    0001 0000000000000000
Frame 0130    0001 0000020e44d80411
Frame 0131    0011 0000000000000000
Frame 0132    0000 0000000000000000
Frame 0133    0000 0000000000000000
Frame 0134    0000 0000000000000000
Frame 0135    0000 0000000000000000
Frame 0136    0000 0000000000000000
Frame 0137    0000 0000000000000000
Frame 0138    0000 0000000000000000
Frame 0139    0000 0000000000000000
Frame 0140    0000 0000000000000000
Frame 0141    0000 0000000000000000
Frame 0142    0000 0000000000000000
Frame 0143    0000 0000000000000000
Frame 0144    0000 0000000000000000
Frame 0145    0000 0000000000000000
Frame 0146    0000 0000000000000000
Frame 0147    0000 0000000000000000
Frame 0148    0000 0000000000000000
Frame 0149    0000 0000000000000000
Frame 0150    0000 0000000000000000
Frame 0151    0000 0000000000000000
Frame 0152    0000 0000000000000000
Frame 0153    0000 0000000000000000
Frame 0154    0000 0000000000000000
Frame 0155    0000 0000000000000000
Frame 0156    0000 0000000000000000
Frame 0157    0000 0000000000000000
Frame 0158    0000 0000000000000000
Frame 0159    0000 0000000000000000
Frame 0160    0000 0000000000000000
Frame 0161    0000 0000000000000000
Frame 0162    0101 00000e9cb1de1191
Frame 0163    0001 0000000000000000
Frame 0164    0001 0000011dc6380901
Frame 0165    0001 0000000000000000
Frame 0166    0001 00000260e66607b1
Frame 0167    0001 0000000000000000
Frame 0168    0001 00000131cb280601
Frame 0169    0001 0000000000000000
Frame 0170    0001 00000f543ff40571
Frame 0171    0001 0000000000000000
Frame 0172    0001 00000d6f006604a1
Frame 0173    0001 0000000000000000
Frame 0174    0001 00000ec1abde0461
Frame 0175    0001 0000000000000000
Frame 0176    0001 00000d199c7e0331
Frame 0177    0001 0000000000000000
Frame 0178    0001 000001587b3e0331
Frame 0179    0001 0000000000000000
Frame 0180    0001 00000f3d563802f1
Frame 0181    0001 0000000000000000
Frame 0182    0001 000002987fde0271
Frame 0183    0001 0000000000000000
Frame 0184    0001 000002695a7e0271
Frame 0185    0011 0000000000000000
Frame 0186    0000 0000000000000000
Frame 0187    0000 0000000000000000
Frame 0188    0000 0000000000000000
Frame 0189    0000 0000000000000000
Frame 0190    0000 0000000000000000
Frame 0191    0000 0000000000000000
Frame 0192    0000 0000000000000000
Frame 0193    0000 0000000000000000
Frame 0194    0000 0000000000000000
Frame 0195    0000 0000000000000000
Frame 0196    0000 0000000000000000
Frame 0197    0000 0000000000000000
Frame 0198    0000 0000000000000000
Frame 0199    0000 0000000000000000
Frame 0200    0000 0000000000000000
Frame 0201    0000 0000000000000000
Frame 0202    0000 0000000000000000
Frame 0203    0000 0000000000000000
Frame 0204    0000 0000000000000000
Frame 0205    0000 0000000000000000
Frame 0206    0000 0000000000000000
Frame 0207    0000 0000000000000000
Frame 0208    0000 0000000000000000
Frame 0209    0000 0000000000000000
Frame 0210    0000 0000000000000000
Frame 0211    0000 0000000000000000
Frame 0212    0000 0000000000000000
Frame 0213    0000 0000000000000000
Frame 0214    0000 0000000000000000
Frame 0215    0000 0000000000000000
Frame 0216    0101 00000042e5b017e1
Frame 0217    0001 0000000000000000
Frame 0218    0001 00000ed4214a0c31
Frame 0219    0001 0000000000000000
Frame 0220    0001 00000f44467e0be1
Frame 0221    0001 0000000000000000
Frame 0222    0001 00000e2dbf280a61
Frame 0223    0001 0000000000000000
Frame 0224    0001 000000360eaa0971
Frame 0225    0001 0000000000000000
Frame 0226    0001 000003253b9a0761
Frame 0227    0001 0000000000000000
Frame 0228    0001 000001445bc80531
Frame 0229    0001 0000000000000000
Frame 0230    0001 00000056f5d204c1
Frame 0231    0001 0000000000000000
Frame 0232    0001 000000bbc9600491
Frame 0233    0001 0000000000000000
Frame 0234    0001 00000f8035820471
Frame 0235    0001 0000000000000000
Frame 0236    0001 000001510ccc0421
Frame 0237    0001 0000000000000000
Frame 0238    0001 00000f5117d20421
Frame 0239    0011 0000000000000000
Frame 0240    0000 0000000000000000
Frame 0241    0000 0000000000000000
Frame 0242    0000 0000000000000000
Frame 0243    0000 0000000000000000
Frame 0244    0000 0000000000000000
Frame 0245    0000 0000000000000000
Frame 0246    0000 0000000000000000
Frame 0247    0000 0000000000000000
Frame 0248    0000 0000000000000000
Frame 0249    0000 0000000000000000
Frame 0250    0000 0000000000000000
Frame 0251    0000 0000000000000000
Frame 0252    0000 0000000000000000
Frame 0253    0000 0000000000000000
Frame 0254    0000 0000000000000000
Frame 0255    0000 0000000000000000
Frame 0256    0000 0000000000000000
Frame 0257    0000 0000000000000000
Frame 0258    0000 0000000000000000
Frame 0259    0000 0000000000000000
Frame 0260    0000 0000000000000000
Frame 0261    0000 0000000000000000
Frame 0262    0000 0000000000000000
Frame 0263    0000 0000000000000000
Frame 0264    0000 0000000000000000
Frame 0265    0000 0000000000000000
Frame 0266    0000 0000000000000000
Frame 0267    0000 0000000000000000
Frame 0268    0000 0000000000000000
Frame 0269    0000 0000000000000000
Frame 0270    0101 00000119bce40c91
Frame 0271    0001 0000000000000000
Frame 0272    0001 0000019118e40a51
Frame 0273    0001 0000000000000000
Frame 0274    0001 0000010e767208c1
Frame 0275    0001 0000000000000000
Frame 0276    0001 000001e7c9a40891
Frame 0277    0001 0000000000000000
Frame 0278    0001 00000d7795560521
Frame 0279    0001 0000000000000000
Frame 0280    0001 0000009dd0220491
Frame 0281    0001 0000000000000000
Frame 0282    0001 0000031299780451
Frame 0283    0001 0000000000000000
Frame 0284    0001 000002e51dd20441
Frame 0285    0001 0000000000000000
Frame 0286    0001 00000e7bf4fa0401
Frame 0287    0001 0000000000000000
Frame 0288    0001 000000fd5f3e03b1
Frame 0289    0001 0000000000000000
Frame 0290    0001 000002888fd20331
Frame 0291    0001 0000000000000000
Frame 0292    0001 000001b4a0500331
Frame 0293    0011 0000000000000000
Frame 0294    0000 0000000000000000
Frame 0295    0000 0000000000000000
Frame 0296    0000 0000000000000000
Frame 0297    0000 0000000000000000
Frame 0298    0000 0000000000000000
Frame 0299    0000 0000000000000000
Frame 0300    0000 0000000000000000
Frame 0301    0000 0000000000000000
Frame 0302    0000 0000000000000000
Frame 0303    0000 0000000000000000
Frame 0304    0000 0000000000000000
Frame 0305    0000 0000000000000000
Frame 0306    0000 0000000000000000
Frame 0307    0000 0000000000000000
Frame 0308    0000 0000000000000000
Frame 0309    0000 0000000000000000
Frame 0310    0000 0000000000000000
Frame 0311    0000 0000000000000000
Frame 0312    0000 0000000000000000
Frame 0313    0000 0000000000000000
Frame 0314    0000 0000000000000000
Frame 0315    0000 0000000000000000
Frame 0316    0000 0000000000000000
Frame 0317    0000 0000000000000000
Frame 0318    0000 0000000000000000
Frame 0319    0000 0000000000000000
Frame 0320    0000 0000000000000000
Frame 0321    0000 0000000000000000
Frame 0322    0000 0000000000000000
Frame 0323    0000 0000000000000000
Frame 0324    0101 00000e19bae42ad1
Frame 0325    0001 0000000000000000
Frame 0326    0001 000001f91f562a51
Frame 0327    0001 0000000000000000
Frame 0328    0001 000002d54afa1471
Frame 0329    0001 0000000000000000
Frame 0330    0001 00000e446ed81111
Frame 0331    0001 0000000000000000
Frame 0332    0001 00000fec12000de1
Frame 0333    0001 0000000000000000
Frame 0334    0001 00000ff615de0ae1
Frame 0335    0001 0000000000000000
Frame 0336    0001 000001bea35609a1
Frame 0337    0001 0000000000000000
Frame 0338    0001 00000ee948e405c1
Frame 0339    0001 0000000000000000
Frame 0340    0001 00000d71f1a60491
Frame 0341    0001 0000000000000000
Frame 0342    0001 000002307eaa0481
Frame 0343    0001 0000000000000000
Frame 0344    0001 000001985d560441
Frame 0345    0001 0000000000000000
Frame 0346    0001 00000067db060431
Frame 0347    0011 0000000000000000
Frame 0348    0000 0000000000000000
Frame 0349    0000 0000000000000000
Frame 0350    0000 0000000000000000
Frame 0351    0000 0000000000000000
Frame 0352    0000 0000000000000000
Frame 0353    0000 0000000000000000
Frame 0354    0000 0000000000000000
Frame 0355    0000 0000000000000000
Frame 0356    0000 0000000000000000
Frame 0357    0000 0000000000000000
Frame 0358    0000 0000000000000000
Frame 0359    0000 0000000000000000
Frame 0360    0000 0000000000000000
Frame 0361    0000 0000000000000000
Frame 0362    0000 0000000000000000
Frame 0363    0000 0000000000000000
Frame 0364    0000 0000000000000000
Frame 0365    0000 0000000000000000
Frame 0366    0000 0000000000000000
Frame 0367    0000 0000000000000000
Frame 0368    0000 0000000000000000
Frame 0369    0000 0000000000000000
Frame 0370    0000 0000000000000000
Frame 0371    0000 0000000000000000
Frame 0372    0000 0000000000000000
Frame 0373    0000 0000000000000000
Frame 0374    0000 0000000000000000
Frame 0375    0000 0000000000000000
Frame 0376    0000 0000000000000000
Frame 0377    0000 0000000000000000
Frame 0378    0101 00000123a6385991
Frame 0379    0001 0000000000000000
Frame 0380    0001 000000847f065081
Frame 0381    0001 0000000000000000
Frame 0382    0001 00000214158229e1
Frame 0383    0001 0000000000000000
Frame 0384    0001 00000ee0ced817b1
Frame 0385    0001 0000000000000000
Frame 0386    0001 000000555d8e0bf1
Frame 0387    0001 0000000000000000
Frame 0388    0001 000001c0040008b1
Frame 0389    0001 0000000000000000
Frame 0390    0001 0000004467d20531
Frame 0391    0001 0000000000000000
Frame 0392    0001 00000096c38e0511
Frame 0393    0001 0000000000000000
Frame 0394    0001 000001b612ee04d1
Frame 0395    0001 0000000000000000
Frame 0396    0001 0000027e83ea0461
Frame 0397    0001 0000000000000000
Frame 0398    0001 0000018462e40401
Frame 0399    0001 0000000000000000
Frame 0400    0001 00000258519a0371
Frame 0401    0011 0000000000000000
Frame 0402    0000 0000000000000000
Frame 0403    0000 0000000000000000
Frame 0404    0000 0000000000000000
Frame 0405    0000 0000000000000000
Frame 0406    0000 0000000000000000
Frame 0407    0000 0000000000000000
Frame 0408    0000 0000000000000000
Frame 0409    0000 0000000000000000
Frame 0410    0000 0000000000000000
Frame 0411    0000 0000000000000000
Frame 0412    0000 0000000000000000
Frame 0413    0000 0000000000000000
Frame 0414    0000 0000000000000000
Frame 0415    0000 0000000000000000
Frame 0416    0000 0000000000000000
Frame 0417    0000 0000000000000000
Frame 0418    0000 0000000000000000
Frame 0419    0000 0000000000000000
Frame 0420    0000 0000000000000000
Frame 0421    0000 0000000000000000
Frame 0422    0000 0000000000000000
Frame 0423    0000 0000000000000000
Frame 0424    0000 0000000000000000
Frame 0425    0000 0000000000000000
