ID: CMSSW
Metadata: (strobe,) start of orbit, start of packet, end of packet, valid

      Link              000        
Frame 0000    1101 0000010ba4b620b1
Frame 0001    0001 0000000000000000
Frame 0002    0001 000001154c2213f1
Frame 0003    0001 0000000000000000
Frame 0004    0001 000001db3a4412d1
Frame 0005    0001 0000000000000000
Frame 0006    0001 00000229476c0ee1
Frame 0007    0001 0000000000000000
Frame 0008    0001 000001e3acfa0c51
Frame 0009    0001 0000000000000000
Frame 0010    0001 000001668ff40611
Frame 0011    0001 0000000000000000
Frame 0012    0001 00000d2ac25c04c1
Frame 0013    0001 0000000000000000
Frame 0014    0001 00000e0a2a2e0411
Frame 0015    0001 0000000000000000
Frame 0016    0001 00000e6252aa0401
Frame 0017    0001 0000000000000000
Frame 0018    0001 0000008ceb1203d1
Frame 0019    0001 0000000000000000
Frame 0020    0001 00000082fd4a03a1
Frame 0021    0001 0000000000000000
Frame 0022    0001 00000e6276880391
Frame 0023    0001 0000000000000000
Frame 0024    0001 00000c54314a0841
Frame 0025    0001 0000000000000000
Frame 0026    0001 0000010a24d82211
Frame 0027    0001 0000000000000000
Frame 0028    0001 000001238ccc1791
Frame 0029    0001 0000000000000000
Frame 0030    0001 000001dcb9ea13a1
Frame 0031    0001 0000000000000000
Frame 0032    0001 0000023347a410f1
Frame 0033    0001 0000000000000000
Frame 0034    0001 000001f92c720de1
Frame 0035    0001 0000000000000000
Frame 0036    0001 00000e1dd1a405c1
Frame 0037    0001 0000000000000000
Frame 0038    0001 00000d2680880571
Frame 0039    0001 0000000000000000
Frame 0040    0001 00000d7a64ee04a1
Frame 0041    0001 0000000000000000
Frame 0042    0001 00000e98779a0471
Frame 0043    0001 0000000000000000
Frame 0044    0001 000001f358500411
Frame 0045    0001 0000000000000000
Frame 0046    0001 00000082fd4a03a1
Frame 0047    0001 0000000000000000
Frame 0048    0001 00000e156b6c02f1
Frame 0049    0011 0000000000000000
Frame 0050    0000 0000000000000000
Frame 0051    0000 0000000000000000
Frame 0052    0000 0000000000000000
Frame 0053    0000 0000000000000000
Frame 0054    0101 00000df607061311
Frame 0055    0001 0000000000000000
Frame 0056    0001 00000e59bb6c0f61
Frame 0057    0001 0000000000000000
Frame 0058    0001 00000de5296c09b1
Frame 0059    0001 0000000000000000
Frame 0060    0001 00000d7795c80811
Frame 0061    0001 0000000000000000
Frame 0062    0001 000000edaa2e0601
Frame 0063    0001 0000000000000000
Frame 0064    0001 000002418e5005a1
Frame 0065    0001 0000000000000000
Frame 0066    0001 00000fe0ed6c0571
Frame 0067    0001 0000000000000000
Frame 0068    0001 000001363bd204f1
Frame 0069    0001 0000000000000000
Frame 0070    0001 00000fddc1ea04a1
Frame 0071    0001 0000000000000000
Frame 0072    0001 00000d473b9a04a1
Frame 0073    0001 0000000000000000
Frame 0074    0001 00000d695d8e04a1
Frame 0075    0001 0000000000000000
Frame 0076    0001 00000da96e0003b1
Frame 0077    0001 0000000000000000
Frame 0078    0001 0000068602501291
Frame 0079    0001 0000000000000000
Frame 0080    0001 00000df607061311
Frame 0081    0001 0000000000000000
Frame 0082    0001 00000e52bb6c0fe1
Frame 0083    0001 0000000000000000
Frame 0084    0001 00000dd129600b61
Frame 0085    0001 0000000000000000
Frame 0086    0001 00000d7916940901
Frame 0087    0001 0000000000000000
Frame 0088    0001 000000e52acc0861
Frame 0089    0001 0000000000000000
Frame 0090    0001 0000024e4eee0741
Frame 0091    0001 0000000000000000
Frame 0092    0001 0000010a3b9a05c1
Frame 0093    0001 0000000000000000
Frame 0094    0001 00000fd2aecc04e1
Frame 0095    0001 0000000000000000
Frame 0096    0001 00000fddc1ea04a1
Frame 0097    0001 0000000000000000
Frame 0098    0001 000001f35d8e0441
Frame 0099    0001 0000000000000000
Frame 0100    0001 0000024cedc80401
Frame 0101    0001 0000000000000000
Frame 0102    0001 00000ed55b0603d1
Frame 0103    0011 0000000000000000
Frame 0104    0000 0000000000000000
Frame 0105    0000 0000000000000000
Frame 0106    0000 0000000000000000
Frame 0107    0000 0000000000000000
Frame 0108    0101 00000e584bea18f1
Frame 0109    0001 0000000000000000
Frame 0110    0001 000000955f4a1751
Frame 0111    0001 0000000000000000
Frame 0112    0001 00000f4030500f41
Frame 0113    0001 0000000000000000
Frame 0114    0001 00000f79067e0b61
Frame 0115    0001 0000000000000000
Frame 0116    0001 00000171ec2e08d1
Frame 0117    0001 0000000000000000
Frame 0118    0001 00000e16fa0c08c1
Frame 0119    0001 0000000000000000
Frame 0120    0001 00000231d61604d1
Frame 0121    0001 0000000000000000
Frame 0122    0001 00000dc46bc804b1
Frame 0123    0001 0000000000000000
Frame 0124    0001 00000dce5b820471
Frame 0125    0001 0000000000000000
Frame 0126    0001 00000d392d3e0471
Frame 0127    0001 0000000000000000
Frame 0128    0001 00000ff4ae5c03d1
Frame 0129    0001 0000000000000000
Frame 0130    0001 00000e59962e03b1
Frame 0131    0001 0000000000000000
Frame 0132    0001 00000b8e10c202c1
Frame 0133    0001 0000000000000000
Frame 0134    0001 00000e5b0bde1931
Frame 0135    0001 0000000000000000
Frame 0136    0001 0000009b1f341801
Frame 0137    0001 0000000000000000
Frame 0138    0001 00000f54302e10b1
Frame 0139    0001 0000000000000000
Frame 0140    0001 00000f7bc6940ba1
Frame 0141    0001 0000000000000000
Frame 0142    0001 00000171ec2e08d1
Frame 0143    0001 0000000000000000
Frame 0144    0001 00000e16fa0c08c1
Frame 0145    0001 0000000000000000
Frame 0146    0001 00000d81ac720671
Frame 0147    0001 0000000000000000
Frame 0148    0001 0000021554ee0521
Frame 0149    0001 0000000000000000
Frame 0150    0001 00000e0719560501
Frame 0151    0001 0000000000000000
Frame 0152    0001 00000d08b76004c1
Frame 0153    0001 0000000000000000
Frame 0154    0001 00000262402203d1
Frame 0155    0001 0000000000000000
Frame 0156    0001 00000022687e0391
Frame 0157    0011 0000000000000000
Frame 0158    0000 0000000000000000
Frame 0159    0000 0000000000000000
Frame 0160    0000 0000000000000000
Frame 0161    0000 0000000000000000
Frame 0162    0101 00000d9dc3c82301
Frame 0163    0001 0000000000000000
Frame 0164    0001 00000ea964fa1b41
Frame 0165    0001 0000000000000000
Frame 0166    0001 00000ebe86d80f21
Frame 0167    0001 0000000000000000
Frame 0168    0001 00000d8cebb00d21
Frame 0169    0001 0000000000000000
Frame 0170    0001 00000205f2880641
Frame 0171    0001 0000000000000000
Frame 0172    0001 0000011dffea0591
Frame 0173    0001 0000000000000000
Frame 0174    0001 000002dc85060571
Frame 0175    0001 0000000000000000
Frame 0176    0001 00000e4014720511
Frame 0177    0001 0000000000000000
Frame 0178    0001 00000ef1f04404c1
Frame 0179    0001 0000000000000000
Frame 0180    0001 00000f3a42c204b1
Frame 0181    0001 0000000000000000
Frame 0182    0001 000001f90ed80481
Frame 0183    0001 0000000000000000
Frame 0184    0001 00000fb624000431
Frame 0185    0001 0000000000000000
Frame 0186    0001 00000b503dde0ed1
Frame 0187    0001 0000000000000000
Frame 0188    0001 00000d9b038224e1
Frame 0189    0001 0000000000000000
Frame 0190    0001 00000eaae4fa1cc1
Frame 0191    0001 0000000000000000
Frame 0192    0001 00000ed6c6721201
Frame 0193    0001 0000000000000000
Frame 0194    0001 00000d81ab9a0dc1
Frame 0195    0001 0000000000000000
Frame 0196    0001 0000010a001607b1
Frame 0197    0001 0000000000000000
Frame 0198    0001 0000023bf1f40791
Frame 0199    0001 0000000000000000
Frame 0200    0001 00000e40140c05c1
